Index,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Clusters
291,125,74,69,-6,8,84,197.0,15,3,9
292,171,64,46,-6,19,29,229.0,25,6,1
293,103,95,54,-4,38,78,174.0,0,4,9
294,90,39,53,-8,9,16,217.0,65,3,8
295,116,88,74,-6,42,33,317.0,0,4,2
296,90,52,63,-6,35,43,249.0,11,3,2
297,141,92,58,-5,20,77,177.0,0,6,9
298,87,68,57,-8,18,67,268.0,36,3,6
299,136,98,54,-8,8,52,225.0,17,5,2
300,87,65,61,-8,5,79,259.0,23,5,0
301,179,54,29,-8,12,16,251.0,29,4,1
302,111,84,62,-5,18,26,343.0,26,4,2
303,131,96,62,-5,51,97,217.0,13,4,9
304,149,81,52,-4,12,53,192.0,0,3,2
305,128,30,48,-9,11,30,281.0,85,4,4
306,96,63,66,-10,60,84,215.0,21,6,5
307,135,80,56,-8,9,58,245.0,0,6,2
308,110,78,65,-5,22,57,137.0,14,3,9
309,78,14,26,-14,10,14,345.0,87,3,3
310,131,90,61,-7,17,39,209.0,18,4,2
311,138,62,49,-7,11,42,242.0,9,3,1
312,123,93,45,-4,36,17,303.0,0,7,2
313,138,84,47,-4,16,48,220.0,0,3,2
314,106,68,38,-9,18,65,136.0,6,3,2
315,170,68,44,-7,9,19,295.0,46,3,1
316,100,63,63,-12,4,87,245.0,4,7,0
317,140,82,42,-4,15,63,194.0,0,6,2
318,122,97,45,-5,10,20,217.0,3,11,2
319,74,63,46,-7,40,59,239.0,9,2,2
320,186,40,32,-9,22,23,296.0,63,4,4
321,81,56,37,-11,97,42,224.0,75,5,5
322,124,56,80,-10,6,96,204.0,9,4,0
323,108,75,62,-6,11,83,226.0,41,3,6
324,76,58,35,-8,12,11,223.0,6,4,7
325,150,81,49,-5,12,25,252.0,4,8,1
326,136,93,54,-6,36,45,246.0,1,5,2
327,164,54,78,-6,22,68,274.0,3,6,0
328,150,92,35,-2,34,54,226.0,0,5,1
329,87,78,36,-8,38,58,236.0,1,4,2
330,122,67,63,-7,28,48,298.0,64,3,8
331,130,70,79,-10,8,86,451.0,0,6,9
332,120,49,60,-7,12,9,270.0,50,3,8
333,72,87,43,-3,40,73,214.0,5,7,9
334,144,44,47,-11,32,31,281.0,60,4,4
335,151,46,69,-8,11,72,242.0,60,5,6
336,98,68,62,-6,8,41,190.0,35,2,8
337,117,18,54,-13,11,13,343.0,75,5,3
338,100,80,71,-6,8,63,259.0,1,4,9
339,135,77,47,-7,11,9,347.0,6,5,2
340,75,41,33,-7,10,7,276.0,61,3,3
341,114,30,70,-17,10,23,332.0,4,3,7
342,105,86,64,-7,87,47,250.0,23,7,5
343,146,40,38,-7,10,19,256.0,78,3,4
344,88,87,25,-4,12,13,268.0,5,5,2
345,104,59,56,-5,13,14,268.0,21,3,7
346,96,91,56,-2,35,73,282.0,2,4,9
347,114,89,59,-6,51,70,312.0,1,3,5
348,82,25,53,-16,12,34,197.0,52,3,3
349,82,48,68,-10,9,45,209.0,63,3,8
350,120,91,55,-4,35,54,224.0,3,5,2
351,171,48,26,-8,11,7,319.0,4,3,1
352,85,58,50,-11,14,30,279.0,11,3,7
353,130,49,41,-9,96,15,296.0,51,3,5
354,153,91,54,-6,14,37,203.0,0,5,2
355,182,24,19,-13,11,11,226.0,24,3,7
356,172,66,45,-4,8,37,236.0,8,3,1
357,106,73,79,-5,10,94,200.0,0,3,9
358,172,76,45,-5,10,54,224.0,0,3,1
359,174,45,46,-11,8,42,257.0,16,3,1
360,143,83,44,-7,32,65,322.0,5,3,1
361,81,39,14,-13,10,30,404.0,30,5,7
362,139,71,82,-7,61,77,223.0,1,18,5
363,144,77,51,-6,17,57,210.0,0,4,2
364,132,84,61,-7,8,54,236.0,0,4,2
365,137,33,51,-11,18,27,198.0,72,11,4
366,186,54,30,-8,12,54,203.0,16,4,1
367,169,88,35,-5,12,41,202.0,3,20,1
368,108,74,59,-8,18,29,379.0,51,3,8
369,153,84,32,-4,8,22,258.0,0,5,1
370,119,81,85,-5,12,78,237.0,12,8,9
371,131,91,47,-7,25,29,245.0,0,4,2
372,94,50,51,-8,39,42,232.0,61,3,8
373,93,93,44,-3,8,40,203.0,1,5,2
374,83,53,66,-9,14,61,230.0,89,17,6
375,119,92,70,-4,8,71,295.0,0,4,9
376,110,80,58,-8,5,42,226.0,0,4,2
377,140,55,56,-7,17,19,273.0,19,3,7
378,199,36,28,-13,14,33,205.0,61,4,4
379,117,73,49,-9,16,83,236.0,0,9,9
380,90,66,54,-8,55,49,214.0,14,4,5
381,138,89,56,-5,32,96,183.0,54,4,6
382,116,59,68,-7,8,64,235.0,1,3,0
383,96,52,32,-7,16,25,238.0,48,2,8
384,94,18,56,-13,7,25,223.0,81,3,3
385,82,47,41,-7,10,39,210.0,56,3,8
386,105,59,43,-6,24,15,330.0,2,3,7
387,123,70,61,-9,33,48,320.0,2,13,2
388,123,73,48,-8,11,87,140.0,57,17,6
389,97,55,74,-9,6,35,328.0,51,3,8
390,92,81,70,-5,13,58,290.0,36,3,9
391,95,94,33,-3,24,30,236.0,1,7,2
392,131,75,58,-7,18,26,308.0,60,3,8
393,118,77,53,-5,12,30,257.0,0,4,2
394,128,80,45,-9,11,25,251.0,0,5,2
395,166,56,41,-5,19,47,176.0,5,3,1
396,74,17,33,-13,9,10,219.0,91,3,3
397,110,77,56,-7,22,71,209.0,0,3,9
398,77,89,69,-6,3,91,182.0,9,3,9
399,115,64,60,-7,10,35,223.0,16,4,2
400,111,66,87,-7,14,32,269.0,4,8,2
401,132,29,54,-10,71,19,206.0,97,3,4
402,97,79,71,-4,20,90,221.0,32,11,9
403,147,90,53,-9,14,91,205.0,0,4,9
404,113,42,74,-10,10,58,259.0,36,3,0
405,112,77,65,-6,59,38,214.0,23,6,5
406,174,92,55,-11,99,11,332.0,1,7,5
407,134,53,59,-10,12,31,287.0,38,4,8
408,91,30,28,-13,12,26,210.0,88,3,3
409,110,41,67,-9,3,71,214.0,15,6,0
410,183,50,45,-7,11,21,266.0,25,3,1
411,104,57,77,-6,11,61,165.0,9,3,0
412,131,83,43,-7,92,71,217.0,1,3,5
413,120,59,79,-9,7,73,206.0,9,8,0
414,127,59,40,-9,11,37,263.0,8,4,7
415,123,71,87,-6,10,96,226.0,57,4,6
416,122,71,70,-5,3,63,203.0,0,8,9
417,100,80,59,-7,9,32,220.0,50,7,8
418,131,42,31,-9,8,24,242.0,13,3,7
419,117,41,71,-14,15,65,227.0,38,4,0
420,123,84,47,-6,10,74,232.0,6,5,9
421,123,81,50,-6,15,28,206.0,4,4,2
422,136,65,64,-6,12,76,232.0,43,3,6
423,109,84,64,-5,9,43,221.0,2,4,2
424,108,72,58,-4,24,32,236.0,3,3,2
425,156,91,48,-4,5,54,267.0,4,19,1
426,115,61,37,-7,10,19,251.0,1,4,7
427,115,59,66,-12,31,67,204.0,60,3,6
428,120,39,62,-12,12,44,249.0,23,3,7
429,110,56,71,-7,12,23,223.0,15,6,7
430,172,96,60,-4,25,57,188.0,20,5,1
431,117,62,48,-7,26,15,241.0,6,4,7
432,99,19,65,-14,13,23,231.0,98,3,3
433,89,73,63,-6,16,50,324.0,9,3,2
434,135,33,56,-8,10,28,285.0,89,3,4
435,108,68,61,-4,13,47,242.0,0,3,2
436,168,94,48,-7,28,26,213.0,0,3,1
437,126,83,60,-7,34,35,339.0,3,4,2
438,129,50,86,-7,10,72,245.0,59,4,6
439,140,59,45,-7,8,20,279.0,5,3,7
440,138,78,48,-8,8,18,319.0,1,5,2
441,105,46,52,-16,78,89,218.0,93,5,6
442,104,61,28,-5,10,8,403.0,0,3,7
443,95,47,37,-8,11,49,251.0,16,4,7
444,138,87,23,-5,29,19,256.0,0,5,1
445,85,29,64,-10,18,41,258.0,67,4,8
446,97,73,50,-6,20,24,231.0,2,3,2
447,103,69,55,-4,8,56,161.0,10,3,2
448,155,20,42,-15,8,10,366.0,96,3,4
449,126,79,60,-4,13,30,245.0,7,10,2
450,120,93,51,-3,14,48,264.0,0,4,2
451,166,87,36,-8,10,61,194.0,0,7,1
452,80,45,31,-6,13,21,250.0,95,3,3
453,168,82,51,-11,14,7,232.0,0,3,1
454,79,73,50,-6,31,45,200.0,14,3,2
455,133,80,74,-8,19,98,239.0,0,4,9
456,82,52,43,-9,22,56,216.0,80,7,8
457,118,73,43,-7,17,31,241.0,0,4,2
458,140,51,44,-8,13,25,245.0,12,3,7
459,79,33,40,-11,8,46,173.0,26,5,7
460,120,75,62,-5,9,56,221.0,64,5,6
461,79,60,51,-9,11,40,265.0,44,3,8
462,128,71,73,-6,10,97,240.0,14,3,9
463,89,57,53,-10,13,49,182.0,72,6,8
464,116,33,53,-10,11,11,526.0,69,5,3
465,130,83,51,-5,7,56,224.0,1,5,2
466,140,86,79,-6,35,77,219.0,13,32,9
467,127,90,73,-4,37,76,236.0,0,14,9
468,106,35,64,-14,7,59,233.0,54,3,8
469,94,75,65,-5,60,65,267.0,8,9,5
470,160,64,59,-8,13,56,185.0,56,10,6
471,166,29,38,-8,12,17,201.0,95,5,4
472,86,75,52,-7,20,70,273.0,36,5,6
473,172,76,34,-7,35,33,251.0,0,4,1
474,135,66,53,-4,21,22,298.0,0,3,2
475,132,63,69,-7,6,74,319.0,1,4,0
476,117,45,49,-9,62,40,266.0,82,3,4
477,131,32,29,-8,19,20,215.0,86,3,4
478,138,74,43,-7,33,9,285.0,2,4,2
479,88,40,37,-13,8,27,189.0,4,3,7
480,76,55,35,-7,11,8,286.0,42,3,7
481,170,69,57,-7,11,78,237.0,4,3,9
482,126,32,65,-11,13,28,233.0,66,3,8
483,136,78,45,-4,67,24,187.0,11,6,5
484,122,26,39,-10,9,18,282.0,81,3,4
485,90,71,51,-3,33,43,175.0,19,3,2
486,131,28,33,-13,13,28,188.0,43,3,4
487,95,55,78,-7,13,44,243.0,35,5,8
488,104,63,67,-7,9,55,248.0,0,3,0
489,131,76,48,-5,31,45,277.0,1,3,2
490,142,75,50,-6,35,30,197.0,1,4,2
491,149,20,28,-17,13,16,809.0,49,3,4
492,78,20,24,-14,11,27,345.0,98,3,3
493,100,47,32,-7,95,25,208.0,26,3,5
494,184,51,35,-8,71,22,291.0,40,3,5
495,180,42,50,-8,11,22,281.0,13,7,1
496,123,73,54,-6,16,51,219.0,1,3,2
497,146,92,64,-4,9,85,258.0,3,8,9
498,107,69,30,-7,27,37,315.0,1,5,2
499,84,40,70,-14,90,82,158.0,56,6,5
500,100,93,64,-6,9,76,190.0,9,15,9
501,131,24,75,-13,44,67,206.0,79,8,6
502,85,32,52,-11,12,27,212.0,70,3,3
503,100,76,51,-7,14,35,220.0,1,7,2
504,85,87,42,-4,12,63,203.0,7,6,2
505,148,60,51,-14,81,96,312.0,67,10,5
506,73,28,61,-9,9,39,214.0,93,4,3
507,137,30,59,-10,12,14,240.0,69,4,4
508,112,65,81,-7,15,81,229.0,35,6,6
509,155,54,27,-7,10,33,285.0,49,3,4
510,141,71,75,-10,10,90,283.0,9,3,9
511,80,81,37,-6,8,65,209.0,3,5,2
512,154,58,27,-8,11,20,308.0,1,4,1
513,124,39,61,-11,11,22,255.0,53,4,8
514,130,73,53,-5,8,57,205.0,0,3,2
515,119,26,46,-8,11,23,221.0,92,4,3
516,112,31,62,-10,12,13,241.0,95,3,3
517,92,71,56,-5,11,39,225.0,0,5,2
518,105,88,66,-5,14,86,238.0,2,4,9
519,103,76,45,-5,15,42,267.0,2,3,2
520,132,68,52,-5,6,11,214.0,8,4,2
521,126,34,47,-8,11,24,165.0,86,4,4
522,152,88,51,-5,7,68,268.0,0,3,9
523,124,78,53,-6,16,64,247.0,0,5,9
524,71,63,51,-9,15,50,214.0,10,19,2
525,85,53,55,-8,22,41,272.0,19,3,7
526,123,54,45,-9,9,13,244.0,70,4,4
527,125,78,55,-5,8,46,255.0,3,4,2
528,76,5,63,-21,10,20,301.0,56,4,3
529,130,83,55,-5,6,14,204.0,4,3,2
530,120,26,42,-7,13,33,270.0,92,3,4
531,151,95,58,-4,4,78,269.0,2,6,9
532,145,56,60,-7,5,33,207.0,0,6,2
533,170,75,45,-6,18,42,243.0,17,6,1
534,75,55,48,-7,10,24,253.0,37,7,8
535,116,81,73,-7,6,25,232.0,3,8,2
536,78,40,57,-11,8,30,266.0,74,3,3
537,114,93,41,-5,60,39,163.0,34,10,5
538,127,72,68,-6,27,57,214.0,8,4,9
539,174,28,36,-12,38,20,174.0,54,4,4
540,116,81,79,-9,10,86,248.0,4,4,9
541,86,41,21,-10,8,16,306.0,17,4,7
542,128,79,57,-4,9,30,148.0,5,5,2
543,128,87,68,-6,37,4,304.0,0,4,2
544,108,88,54,-5,3,25,282.0,2,3,2
545,144,40,56,-8,11,46,209.0,66,3,8
546,127,33,79,-13,19,53,231.0,60,6,8
547,110,85,78,-4,12,62,250.0,5,7,9
548,77,51,57,-7,9,51,484.0,23,5,7
549,121,66,60,-6,12,29,245.0,23,5,2
